pipeline,axis,t_name,r_name,is_identity,k_train,n_train,p_hat_train,cp_lcb_train,accepted_train,k_hold,n_hold,p_hat_hold,cp_lcb_hold,accepted_hold,stable
f_track,identity,identity,R_eq,1,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,identity,identity,R_le,1,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,identity,identity,R_ge,1,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,identity,identity,R_sign_eq,1,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,order,permute_founders,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,order,permute_founders,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,order,permute_founders,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,order,permute_founders,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,order,permute_risks,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,order,permute_risks,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,order,permute_risks,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,order,permute_risks,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,optional,replace_description,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,optional,replace_description,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,optional,replace_description,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,optional,replace_description,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,optional,blank_description,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,optional,blank_description,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,optional,blank_description,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,optional,blank_description,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,non_rule_fact,add_risk_item,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,non_rule_fact,add_risk_item,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,non_rule_fact,add_risk_item,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,non_rule_fact,add_risk_item,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,non_rule_fact,drop_risk_item,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,non_rule_fact,drop_risk_item,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,non_rule_fact,drop_risk_item,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,non_rule_fact,drop_risk_item,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,non_rule_fact,bump_founder_experience,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,non_rule_fact,bump_founder_experience,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,non_rule_fact,bump_founder_experience,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,non_rule_fact,bump_founder_experience,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_track,rule_threshold,strengthen_revenue_threshold,R_eq,0,279,350,0.7971,0.7198,0,115,150,0.7667,0.6395,0,0
f_track,rule_threshold,strengthen_revenue_threshold,R_le,0,279,350,0.7971,0.7198,0,115,150,0.7667,0.6395,0,0
f_track,rule_threshold,strengthen_revenue_threshold,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,rule_threshold,strengthen_revenue_threshold,R_sign_eq,0,312,350,0.8914,0.8275,0,137,150,0.9133,0.8144,0,0
f_track,rule_threshold,weaken_revenue_threshold,R_eq,0,290,350,0.8286,0.7549,0,127,150,0.8467,0.7313,0,0
f_track,rule_threshold,weaken_revenue_threshold,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,rule_threshold,weaken_revenue_threshold,R_ge,0,290,350,0.8286,0.7549,0,127,150,0.8467,0.7313,0,0
f_track,rule_threshold,weaken_revenue_threshold,R_sign_eq,0,317,350,0.9057,0.8447,0,142,150,0.9467,0.8599,0,0
f_track,rule_threshold,strengthen_team_threshold,R_eq,0,270,350,0.7714,0.6916,0,115,150,0.7667,0.6395,0,0
f_track,rule_threshold,strengthen_team_threshold,R_le,0,270,350,0.7714,0.6916,0,115,150,0.7667,0.6395,0,0
f_track,rule_threshold,strengthen_team_threshold,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,rule_threshold,strengthen_team_threshold,R_sign_eq,0,309,350,0.8829,0.8174,0,130,150,0.8667,0.7554,0,0
f_track,rule_threshold,weaken_team_threshold,R_eq,0,316,350,0.9029,0.8413,0,126,150,0.84,0.7234,0,0
f_track,rule_threshold,weaken_team_threshold,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,rule_threshold,weaken_team_threshold,R_ge,0,316,350,0.9029,0.8413,0,126,150,0.84,0.7234,0,0
f_track,rule_threshold,weaken_team_threshold,R_sign_eq,0,334,350,0.9543,0.9062,0,140,150,0.9333,0.8412,0,0
f_track,rule_threshold,strengthen_risk_threshold,R_eq,0,274,350,0.7829,0.7041,0,116,150,0.7733,0.6469,0,0
f_track,rule_threshold,strengthen_risk_threshold,R_le,0,274,350,0.7829,0.7041,0,116,150,0.7733,0.6469,0,0
f_track,rule_threshold,strengthen_risk_threshold,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,rule_threshold,strengthen_risk_threshold,R_sign_eq,0,310,350,0.8857,0.8208,0,133,150,0.8867,0.7802,0,0
f_track,rule_threshold,weaken_risk_threshold,R_eq,0,258,350,0.7371,0.6546,0,108,150,0.72,0.5885,0,0
f_track,rule_threshold,weaken_risk_threshold,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,rule_threshold,weaken_risk_threshold,R_ge,0,258,350,0.7371,0.6546,0,108,150,0.72,0.5885,0,0
f_track,rule_threshold,weaken_risk_threshold,R_sign_eq,0,308,350,0.88,0.814,0,135,150,0.9,0.7971,0,0
f_track,rule_clause,add_strict_clause,R_eq,0,137,350,0.3914,0.3081,0,52,150,0.3467,0.227,0,0
f_track,rule_clause,add_strict_clause,R_le,0,137,350,0.3914,0.3081,0,52,150,0.3467,0.227,0,0
f_track,rule_clause,add_strict_clause,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,rule_clause,add_strict_clause,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,rule_clause,remove_last_clause,R_eq,0,198,350,0.5657,0.4774,0,83,150,0.5533,0.4179,0,0
f_track,rule_clause,remove_last_clause,R_le,0,282,350,0.8057,0.7293,0,119,150,0.7933,0.6694,0,0
f_track,rule_clause,remove_last_clause,R_ge,0,266,350,0.76,0.6792,0,114,150,0.76,0.6321,0,0
f_track,rule_clause,remove_last_clause,R_sign_eq,0,308,350,0.88,0.814,0,135,150,0.9,0.7971,0,0
f_track,case_fact,case_revenue_up,R_eq,0,290,350,0.8286,0.7549,0,127,150,0.8467,0.7313,0,0
f_track,case_fact,case_revenue_up,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,case_fact,case_revenue_up,R_ge,0,290,350,0.8286,0.7549,0,127,150,0.8467,0.7313,0,0
f_track,case_fact,case_revenue_up,R_sign_eq,0,317,350,0.9057,0.8447,0,142,150,0.9467,0.8599,0,0
f_track,case_fact,case_revenue_down,R_eq,0,279,350,0.7971,0.7198,0,115,150,0.7667,0.6395,0,0
f_track,case_fact,case_revenue_down,R_le,0,279,350,0.7971,0.7198,0,115,150,0.7667,0.6395,0,0
f_track,case_fact,case_revenue_down,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,case_fact,case_revenue_down,R_sign_eq,0,312,350,0.8914,0.8275,0,137,150,0.9133,0.8144,0,0
f_track,case_fact,case_team_plus,R_eq,0,316,350,0.9029,0.8413,0,126,150,0.84,0.7234,0,0
f_track,case_fact,case_team_plus,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,case_fact,case_team_plus,R_ge,0,316,350,0.9029,0.8413,0,126,150,0.84,0.7234,0,0
f_track,case_fact,case_team_plus,R_sign_eq,0,334,350,0.9543,0.9062,0,140,150,0.9333,0.8412,0,0
f_track,case_fact,case_team_minus,R_eq,0,310,350,0.8857,0.8208,0,128,150,0.8533,0.7393,0,0
f_track,case_fact,case_team_minus,R_le,0,310,350,0.8857,0.8208,0,128,150,0.8533,0.7393,0,0
f_track,case_fact,case_team_minus,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,case_fact,case_team_minus,R_sign_eq,0,329,350,0.94,0.8875,0,138,150,0.92,0.8232,0,0
f_track,case_fact,case_risk_up,R_eq,0,237,350,0.6771,0.5912,0,97,150,0.6467,0.5115,0,0
f_track,case_fact,case_risk_up,R_le,0,237,350,0.6771,0.5912,0,97,150,0.6467,0.5115,0,0
f_track,case_fact,case_risk_up,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,case_fact,case_risk_up,R_sign_eq,0,296,350,0.8457,0.7743,0,125,150,0.8333,0.7155,0,0
f_track,case_fact,case_risk_down,R_eq,0,258,350,0.7371,0.6546,0,108,150,0.72,0.5885,0,0
f_track,case_fact,case_risk_down,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_track,case_fact,case_risk_down,R_ge,0,258,350,0.7371,0.6546,0,108,150,0.72,0.5885,0,0
f_track,case_fact,case_risk_down,R_sign_eq,0,308,350,0.88,0.814,0,135,150,0.9,0.7971,0,0
f_wrongrule,identity,identity,R_eq,1,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_wrongrule,identity,identity,R_le,1,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,identity,identity,R_ge,1,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,identity,identity,R_sign_eq,1,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,order,permute_founders,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_wrongrule,order,permute_founders,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,order,permute_founders,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,order,permute_founders,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,order,permute_risks,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
f_wrongrule,order,permute_risks,R_le,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,order,permute_risks,R_ge,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,order,permute_risks,R_sign_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,0
f_wrongrule,optional,replace_description,R_eq,0,350,350,1.0,0.9789,1,150,150,1.0,0.9514,1,1
