seal_sha256,draw,pipeline,axis,t_name,is_identity,r_name,k,n_eff,n_raw,p_hat,cp_lcb,accepted,skipped_low_neff,in_signature
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,identity,identity,1,R_eq_omega,195,195,195,1.0,0.9624,1,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,identity,identity,1,R_up_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,identity,identity,1,R_down_omega,1,195,195,0.0051,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,identity,identity,1,R_sign_eq,162,195,195,0.8308,0.7289,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,order,permute_founders,0,R_eq_omega,141,141,195,1.0,0.9484,1,0,1
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,order,permute_founders,0,R_up_omega,0,141,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,order,permute_founders,0,R_down_omega,1,141,195,0.0071,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,order,permute_founders,0,R_sign_eq,121,141,195,0.8582,0.7409,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,order,permute_risks,0,R_eq_omega,136,136,195,1.0,0.9465,1,0,1
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,order,permute_risks,0,R_up_omega,0,136,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,order,permute_risks,0,R_down_omega,1,136,195,0.0074,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,order,permute_risks,0,R_sign_eq,113,136,195,0.8309,0.7058,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,optional,replace_description,0,R_eq_omega,195,195,195,1.0,0.9624,1,0,1
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,optional,replace_description,0,R_up_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,optional,replace_description,0,R_down_omega,1,195,195,0.0051,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,optional,replace_description,0,R_sign_eq,162,195,195,0.8308,0.7289,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,optional,blank_description,0,R_eq_omega,195,195,195,1.0,0.9624,1,0,1
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,optional,blank_description,0,R_up_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,optional,blank_description,0,R_down_omega,1,195,195,0.0051,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,optional,blank_description,0,R_sign_eq,162,195,195,0.8308,0.7289,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,non_rule_fact,add_risk_item,0,R_eq_omega,195,195,195,1.0,0.9624,1,0,1
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,non_rule_fact,add_risk_item,0,R_up_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,non_rule_fact,add_risk_item,0,R_down_omega,1,195,195,0.0051,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,non_rule_fact,add_risk_item,0,R_sign_eq,162,195,195,0.8308,0.7289,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,non_rule_fact,drop_risk_item,0,R_eq_omega,165,165,195,1.0,0.9557,1,0,1
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,non_rule_fact,drop_risk_item,0,R_up_omega,0,165,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,non_rule_fact,drop_risk_item,0,R_down_omega,1,165,195,0.0061,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,non_rule_fact,drop_risk_item,0,R_sign_eq,135,165,195,0.8182,0.7042,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,non_rule_fact,bump_founder_experience,0,R_eq_omega,195,195,195,1.0,0.9624,1,0,1
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,non_rule_fact,bump_founder_experience,0,R_up_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,non_rule_fact,bump_founder_experience,0,R_down_omega,1,195,195,0.0051,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,non_rule_fact,bump_founder_experience,0,R_sign_eq,162,195,195,0.8308,0.7289,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,strengthen_revenue_threshold,0,R_eq_omega,148,195,195,0.759,0.6481,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,strengthen_revenue_threshold,0,R_up_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,strengthen_revenue_threshold,0,R_down_omega,47,195,195,0.241,0.1501,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,strengthen_revenue_threshold,0,R_sign_eq,142,195,195,0.7282,0.6146,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,weaken_revenue_threshold,0,R_eq_omega,153,195,195,0.7846,0.6764,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,weaken_revenue_threshold,0,R_up_omega,43,195,195,0.2205,0.1333,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,weaken_revenue_threshold,0,R_down_omega,1,195,195,0.0051,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,weaken_revenue_threshold,0,R_sign_eq,149,195,195,0.7641,0.6537,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,strengthen_team_threshold,0,R_eq_omega,132,195,195,0.6769,0.5602,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,strengthen_team_threshold,0,R_up_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,strengthen_team_threshold,0,R_down_omega,64,195,195,0.3282,0.2244,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,strengthen_team_threshold,0,R_sign_eq,139,195,195,0.7128,0.5981,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,weaken_team_threshold,0,R_eq_omega,168,195,195,0.8615,0.7651,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,weaken_team_threshold,0,R_up_omega,29,195,195,0.1487,0.0776,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,weaken_team_threshold,0,R_down_omega,1,195,195,0.0051,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,weaken_team_threshold,0,R_sign_eq,154,195,195,0.7897,0.6822,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,strengthen_risk_threshold,0,R_eq_omega,165,195,195,0.8462,0.7469,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,strengthen_risk_threshold,0,R_up_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,strengthen_risk_threshold,0,R_down_omega,31,195,195,0.159,0.0852,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,strengthen_risk_threshold,0,R_sign_eq,146,195,195,0.7487,0.6368,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,weaken_risk_threshold,0,R_eq_omega,179,195,195,0.9179,0.8351,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,weaken_risk_threshold,0,R_up_omega,16,195,195,0.0821,0.0318,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,weaken_risk_threshold,0,R_down_omega,1,195,195,0.0051,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_threshold,weaken_risk_threshold,0,R_sign_eq,162,195,195,0.8308,0.7289,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_clause,add_strict_clause,0,R_eq_omega,162,195,195,0.8308,0.7289,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_clause,add_strict_clause,0,R_up_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_clause,add_strict_clause,0,R_down_omega,37,195,195,0.1897,0.1088,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_clause,add_strict_clause,0,R_sign_eq,172,195,195,0.8821,0.7899,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_clause,remove_last_clause,0,R_eq_omega,161,195,195,0.8256,0.723,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_clause,remove_last_clause,0,R_up_omega,20,195,195,0.1026,0.045,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_clause,remove_last_clause,0,R_down_omega,14,195,195,0.0718,0.0256,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,rule_clause,remove_last_clause,0,R_sign_eq,157,195,195,0.8051,0.6995,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_revenue_up,0,R_eq_omega,153,195,195,0.7846,0.6764,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_revenue_up,0,R_up_omega,43,195,195,0.2205,0.1333,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_revenue_up,0,R_down_omega,1,195,195,0.0051,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_revenue_up,0,R_sign_eq,149,195,195,0.7641,0.6537,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_revenue_down,0,R_eq_omega,148,195,195,0.759,0.6481,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_revenue_down,0,R_up_omega,0,195,195,0.0,0.0,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_revenue_down,0,R_down_omega,47,195,195,0.241,0.1501,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_revenue_down,0,R_sign_eq,142,195,195,0.7282,0.6146,0,0,0
f73ca3324a321d80dc3d63e6bf4afa9f6240cdfd0a658acacbe7209dc8c1b144,0,f_wrongstochastic,case_fact,case_team_plus,0,R_eq_omega,168,195,195,0.8615,0.7651,0,0,0
