seal_sha256,draw,pipeline,axis,t_name,is_borderline,expected_direction,n_eff_active,below_floor,correct_count,wrong_count,no_effect_count,correct_rate,wrong_rate,no_effect_rate,correct_lcb,wrong_ucb,no_effect_lcb,correct_high_accepted,wrong_low_accepted,naive_correct_count,naive_correct_rate,naive_correct_high_accepted
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,0,f_track,rule_threshold,strengthen_revenue_threshold,0,DOWN,113,0,113,0,0,1.0,0.0,0.0,0.9371,0.0629,0.0,1,1,113,1.0,1
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,0,f_track,rule_threshold,weaken_revenue_threshold,0,UP,94,0,94,0,0,1.0,0.0,0.0,0.9249,0.0751,0.0,1,1,94,1.0,1
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,0,f_track,rule_threshold,strengthen_team_threshold,0,DOWN,136,0,136,0,0,1.0,0.0,0.0,0.9475,0.0525,0.0,1,1,136,1.0,1
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,0,f_track,rule_threshold,weaken_team_threshold,0,UP,63,0,63,0,0,1.0,0.0,0.0,0.89,0.11,0.0,0,0,63,1.0,1
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,0,f_track,rule_threshold,strengthen_risk_threshold,0,DOWN,113,0,113,0,0,1.0,0.0,0.0,0.9371,0.0629,0.0,1,1,113,1.0,1
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,0,f_track,rule_threshold,weaken_risk_threshold,0,UP,95,0,95,0,0,1.0,0.0,0.0,0.9257,0.0743,0.0,1,1,95,1.0,1
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,0,f_track,rule_clause,add_strict_clause,0,DOWN,330,0,269,0,61,0.8152,0.0,0.1848,0.7383,0.022,0.1221,0,1,330,1.0,1
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,0,f_track,rule_clause,remove_last_clause,0,UP,143,0,143,0,0,1.0,0.0,0.0,0.95,0.05,0.0,1,1,143,1.0,1
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,0,f_track,rule_clause,add_passing_clause,1,UP,164,0,42,0,122,0.2561,0.0,0.7439,0.1561,0.0438,0.622,0,1,164,1.0,1
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,0,f_track,case_fact,case_revenue_up,0,UP,94,0,94,0,0,1.0,0.0,0.0,0.9249,0.0751,0.0,1,1,94,1.0,1
