seal_sha256,draw,pipeline,q_0,q_1,q_2,q_3,q_4,q_5,q_6,total
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,0,f_track,48,55,138,257,2,0,0,500
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,0,f_ruleblind,38,50,134,277,1,0,0,500
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,0,f_constant,43,46,130,279,2,0,0,500
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,0,f_wrongstatic,35,54,116,294,1,0,0,500
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,0,f_wrongstochastic,26,20,69,136,0,0,249,500
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,1,f_track,42,47,136,275,0,0,0,500
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,1,f_ruleblind,44,56,131,268,1,0,0,500
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,1,f_constant,35,56,127,282,0,0,0,500
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,1,f_wrongstatic,41,52,140,267,0,0,0,500
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,1,f_wrongstochastic,22,27,71,131,1,0,248,500
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,2,f_track,37,59,119,284,1,0,0,500
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,2,f_ruleblind,47,54,125,274,0,0,0,500
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,2,f_constant,35,58,128,276,3,0,0,500
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,2,f_wrongstatic,41,57,123,278,0,1,0,500
c533d2dccf8e1b94c4c8024eaf0f6c0d54acd8470b2a14626bc959e28ddf7875,2,f_wrongstochastic,29,32,57,142,0,0,240,500
