seal_sha256,probe_idx,probe_name,relation,expected_direction,pipeline,k,n_eff,p_hat,cp_lcb,cp_ucb,margin_from_theta,n_min_required,margin_condition_supported
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,1,strengthen_risk_threshold,R_down,DOWN,f_track,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,1,strengthen_risk_threshold,R_down,DOWN,f_ruleblind,1,600,0.001667,1e-06,0.016137,0.898333,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,1,strengthen_risk_threshold,R_down,DOWN,f_constant,2,600,0.003333,6e-05,0.019487,0.896667,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,1,strengthen_risk_threshold,R_down,DOWN,f_wrongstatic,0,600,0.0,0.0,0.012221,0.9,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,1,strengthen_risk_threshold,R_down,DOWN,f_wrongstochastic,280,600,0.466667,0.400834,0.533317,0.433333,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,2,weaken_risk_threshold,R_up,UP,f_track,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,2,weaken_risk_threshold,R_up,UP,f_ruleblind,0,600,0.0,0.0,0.012221,0.9,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,2,weaken_risk_threshold,R_up,UP,f_constant,4,600,0.006667,0.00063,0.025451,0.893333,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,2,weaken_risk_threshold,R_up,UP,f_wrongstatic,0,600,0.0,0.0,0.012221,0.9,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,2,weaken_risk_threshold,R_up,UP,f_wrongstochastic,304,600,0.506667,0.440204,0.572966,0.393333,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,3,strengthen_revenue_threshold,R_down,DOWN,f_track,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,3,strengthen_revenue_threshold,R_down,DOWN,f_ruleblind,2,600,0.003333,6e-05,0.019487,0.896667,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,3,strengthen_revenue_threshold,R_down,DOWN,f_constant,0,600,0.0,0.0,0.012221,0.9,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,3,strengthen_revenue_threshold,R_down,DOWN,f_wrongstatic,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,3,strengthen_revenue_threshold,R_down,DOWN,f_wrongstochastic,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,4,case_team_plus,R_up,UP,f_track,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,4,case_team_plus,R_up,UP,f_ruleblind,62,600,0.103333,0.067356,0.149142,0.796667,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,4,case_team_plus,R_up,UP,f_constant,0,600,0.0,0.0,0.012221,0.9,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,4,case_team_plus,R_up,UP,f_wrongstatic,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,4,case_team_plus,R_up,UP,f_wrongstochastic,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,5,case_revenue_up,R_up,UP,f_track,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,5,case_revenue_up,R_up,UP,f_ruleblind,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,5,case_revenue_up,R_up,UP,f_constant,3,600,0.005,0.00027,0.022557,0.895,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,5,case_revenue_up,R_up,UP,f_wrongstatic,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,5,case_revenue_up,R_up,UP,f_wrongstochastic,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,6,case_risk_up,R_down,DOWN,f_track,600,600,1.0,0.987779,1.0,0.1,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,6,case_risk_up,R_down,DOWN,f_ruleblind,0,600,0.0,0.0,0.012221,0.9,577,1
556b70d6ad38f0d7f11071c76b27ddc045139ef46707459feb32733101f5f999,6,case_risk_up,R_down,DOWN,f_constant,0,600,0.0,0.0,0.012221,0.9,577,1
