case,replay_index,decision
artisanflow,0,growth
artisanflow,1,growth
artisanflow,2,growth
artisanflow,3,growth
artisanflow,4,seed
envelop,0,seed
envelop,1,seed
envelop,2,pre-seed
envelop,3,seed
envelop,4,seed
freakinggenius,0,idea
freakinggenius,1,idea
freakinggenius,2,idea
freakinggenius,3,pre-seed
freakinggenius,4,pre-seed
himom,0,idea
himom,1,idea
himom,2,idea
himom,3,idea
himom,4,idea
meridian,0,pre-seed
meridian,1,pre-seed
meridian,2,seed
meridian,3,pre-seed
meridian,4,seed
narma,0,idea
narma,1,idea
narma,2,idea
narma,3,idea
narma,4,idea
northpass,0,idea
northpass,1,idea
northpass,2,idea
northpass,3,idea
northpass,4,idea
readyrounds,0,idea
readyrounds,1,idea
readyrounds,2,idea
readyrounds,3,idea
readyrounds,4,idea
rhodium,0,growth
rhodium,1,growth
rhodium,2,growth
rhodium,3,growth
rhodium,4,growth
stagehand,0,idea
stagehand,1,idea
stagehand,2,idea
stagehand,3,idea
stagehand,4,idea
