case,replay_index,opportunity_score
himom,1,463.0
himom,0,560.0
himom,2,463.0
himom,3,463.0
himom,4,515.0
himom,5,463.0
himom,6,463.0
himom,7,463.0
himom,8,463.0
himom,9,463.0
stagehand,0,553.0
stagehand,1,463.0
stagehand,2,500.0
stagehand,3,553.0
stagehand,4,463.0
stagehand,5,500.0
stagehand,6,500.0
stagehand,7,500.0
stagehand,8,500.0
stagehand,9,463.0
readyrounds,0,402.0
readyrounds,1,553.0
readyrounds,2,515.0
readyrounds,3,553.0
readyrounds,4,463.0
readyrounds,5,515.0
readyrounds,6,515.0
readyrounds,7,553.0
readyrounds,8,463.0
readyrounds,9,515.0
narma,1,463.0
narma,2,463.0
narma,3,463.0
narma,4,463.0
narma,6,463.0
narma,5,463.0
narma,7,402.0
narma,8,463.0
narma,9,463.0
narma,0,500.0
