case,unit_id,n_replays,deletion_mean,deletion_sigma,baseline_mean,baseline_sigma,delta,z_score,above_noise_2sigma
himom,u01,5,512.2,32.0,477.9,33.2,+34.3,1.93,n
himom,u02,5,481.0,40.2,477.9,33.2,+3.1,0.15,n
himom,u03,5,494.2,28.5,477.9,33.2,+16.3,0.99,n
himom,u04,5,477.8,20.3,477.9,33.2,-0.1,-0.01,n
himom,u05,5,485.4,50.1,477.9,33.2,+7.5,0.30,n
himom,u06,4,549.0,46.3,477.9,33.2,+71.1,2.80,Y
himom,u07,5,513.8,32.4,477.9,33.2,+35.9,2.01,n
himom,u08,5,491.4,41.1,477.9,33.2,+13.5,0.64,n
himom,u09,5,517.0,49.3,477.9,33.2,+39.1,1.60,n
himom,u10,5,509.4,45.1,477.9,33.2,+31.5,1.39,n
himom,u11,5,521.4,36.9,477.9,33.2,+43.5,2.22,n
himom,u12,5,488.4,39.5,477.9,33.2,+10.5,0.51,n
narma,u01,5,470.4,16.5,460.6,23.6,+9.8,0.93,n
narma,u02,5,494.2,28.5,460.6,23.6,+33.6,2.27,n
narma,u03,5,471.6,46.8,460.6,23.6,+11.0,0.49,n
narma,u04,5,483.8,28.5,460.6,23.6,+23.2,1.57,n
narma,u05,5,468.8,54.0,460.6,23.6,+8.2,0.32,n
narma,u06,5,468.8,54.0,460.6,23.6,+8.2,0.32,n
narma,u07,5,509.2,32.4,460.6,23.6,+48.6,2.98,Y
narma,u08,5,491.4,41.1,460.6,23.6,+30.8,1.55,n
narma,u09,5,463.0,0.0,460.6,23.6,+2.4,0.32,n
narma,u10,5,483.8,28.5,460.6,23.6,+23.2,1.57,n
narma,u11,5,479.2,57.5,460.6,23.6,+18.6,0.69,n
readyrounds,u01,5,519.6,19.8,504.7,48.8,+14.9,0.84,n
readyrounds,u02,5,537.8,20.8,504.7,48.8,+33.1,1.84,n
readyrounds,u03,5,537.8,20.8,504.7,48.8,+33.1,1.84,n
readyrounds,u04,5,516.8,38.1,504.7,48.8,+12.1,0.53,n
readyrounds,u05,5,524.4,41.3,504.7,48.8,+19.7,0.82,n
readyrounds,u06,5,509.4,45.1,504.7,48.8,+4.7,0.19,n
readyrounds,u07,5,506.2,32.4,504.7,48.8,+1.5,0.07,n
readyrounds,u08,5,517.0,49.3,504.7,48.8,+12.3,0.46,n
readyrounds,u09,5,498.8,38.0,504.7,48.8,-5.9,-0.26,n
readyrounds,u10,5,488.4,39.5,504.7,48.8,-16.3,-0.69,n
stagehand,u01,5,465.6,40.1,499.5,32.9,-33.9,-1.64,n
stagehand,u02,5,510.6,23.7,499.5,32.9,+11.1,0.75,n
stagehand,u03,5,495.8,36.9,499.5,32.9,-3.7,-0.19,n
stagehand,u04,5,495.8,36.9,499.5,32.9,-3.7,-0.19,n
stagehand,u05,5,485.2,20.3,499.5,32.9,-14.3,-1.04,n
stagehand,u06,5,492.6,16.5,499.5,32.9,-6.9,-0.54,n
stagehand,u07,5,465.8,21.6,499.5,32.9,-33.7,-2.38,n
stagehand,u08,5,492.6,16.5,499.5,32.9,-6.9,-0.54,n
stagehand,u09,5,500.0,0.0,499.5,32.9,+0.5,0.05,n
stagehand,u10,5,485.2,20.3,499.5,32.9,-14.3,-1.04,n
stagehand,u11,5,492.6,16.5,499.5,32.9,-6.9,-0.54,n
stagehand,u12,5,495.8,36.9,499.5,32.9,-3.7,-0.19,n
