case,unit_id,replay_index,kind,opportunity_score
himom,u01,2,delete,515.0
himom,u01,0,delete,553.0
himom,u01,1,delete,515.0
himom,u01,3,delete,515.0
himom,u01,4,delete,463.0
himom,u02,0,delete,463.0
himom,u02,2,delete,463.0
himom,u02,1,delete,463.0
himom,u02,3,delete,463.0
himom,u02,4,delete,553.0
himom,u03,0,delete,463.0
himom,u03,1,delete,515.0
himom,u03,2,delete,515.0
himom,u03,3,delete,463.0
himom,u04,0,delete,463.0
himom,u03,4,delete,515.0
himom,u04,1,delete,463.0
himom,u04,3,delete,500.0
himom,u04,4,delete,500.0
himom,u04,2,delete,463.0
himom,u05,0,delete,463.0
himom,u05,1,delete,463.0
himom,u05,2,delete,463.0
himom,u05,3,delete,575.0
himom,u05,4,delete,463.0
himom,u06,0,delete,553.0
himom,u06,2,delete,515.0
himom,u06,3,delete,613.0
himom,u06,4,delete,515.0
himom,u07,0,delete,553.0
himom,u07,1,delete,523.0
himom,u07,3,delete,515.0
himom,u07,2,delete,515.0
himom,u07,4,delete,463.0
himom,u08,0,delete,463.0
himom,u08,1,delete,463.0
himom,u08,2,delete,463.0
himom,u08,3,delete,553.0
himom,u08,4,delete,515.0
himom,u09,1,delete,463.0
himom,u09,0,delete,553.0
himom,u06,1,delete,
himom,u09,2,delete,553.0
himom,u09,3,delete,463.0
himom,u09,4,delete,553.0
himom,u10,0,delete,463.0
himom,u10,1,delete,553.0
himom,u10,2,delete,515.0
himom,u10,4,delete,553.0
himom,u10,3,delete,463.0
himom,u11,0,delete,515.0
himom,u11,1,delete,523.0
himom,u11,2,delete,553.0
himom,u11,3,delete,553.0
himom,u11,4,delete,463.0
himom,u12,0,delete,463.0
himom,u12,1,delete,463.0
himom,u12,2,delete,500.0
himom,u12,3,delete,463.0
stagehand,u01,1,delete,463.0
stagehand,u01,0,delete,500.0
himom,u12,4,delete,553.0
stagehand,u01,2,delete,500.0
stagehand,u01,3,delete,463.0
stagehand,u01,4,delete,402.0
stagehand,u02,1,delete,500.0
stagehand,u02,2,delete,500.0
stagehand,u02,0,delete,500.0
stagehand,u02,4,delete,500.0
stagehand,u03,0,delete,500.0
stagehand,u02,3,delete,553.0
stagehand,u03,1,delete,500.0
stagehand,u03,3,delete,463.0
stagehand,u03,2,delete,553.0
