case,unit_id,n_replays,deletion_mean,deletion_sigma,baseline_mean,baseline_sigma,delta,z_score,above_noise_2sigma
himom,p01,5,480.8,24.9,482.4,32.9,-1.6,-0.10,n
himom,p02,5,503.4,65.3,482.4,32.9,+21.0,0.68,n
himom,p03,5,488.4,39.5,482.4,32.9,+6.0,0.29,n
himom,p04,5,470.4,16.5,482.4,32.9,-12.0,-0.94,n
himom,p05,5,491.4,41.1,482.4,32.9,+9.0,0.43,n
himom,p06,5,470.4,16.5,482.4,32.9,-12.0,-0.94,n
narma,p01,5,471.6,46.8,481.5,42.8,-9.9,-0.40,n
narma,p02,5,501.6,22.5,481.5,42.8,+20.1,1.19,n
narma,p03,5,480.8,24.9,481.5,42.8,-0.7,-0.04,n
narma,p04,5,463.0,0.0,481.5,42.8,-18.5,-1.37,n
narma,p05,5,483.8,28.5,481.5,42.8,+2.3,0.12,n
narma,p06,5,483.8,28.5,481.5,42.8,+2.3,0.12,n
readyrounds,p01,5,519.6,19.8,516.8,35.9,+2.8,0.19,n
readyrounds,p02,5,522.6,17.0,516.8,35.9,+5.8,0.42,n
readyrounds,p03,5,491.2,26.5,516.8,35.9,-25.6,-1.56,n
readyrounds,p04,5,512.2,32.0,516.8,35.9,-4.6,-0.25,n
readyrounds,p05,5,513.8,38.8,516.8,35.9,-3.0,-0.14,n
readyrounds,p06,5,527.4,39.6,516.8,35.9,+10.6,0.50,n
readyrounds,p07,5,519.8,37.0,516.8,35.9,+3.0,0.15,n
stagehand,p01,5,488.4,39.5,503.2,30.3,-14.8,-0.74,n
stagehand,p02,5,465.8,21.6,503.2,30.3,-37.4,-2.75,n
stagehand,p03,5,488.2,23.8,503.2,30.3,-15.0,-1.05,n
stagehand,p04,5,473.4,23.3,503.2,30.3,-29.8,-2.11,n
stagehand,p05,5,477.8,20.3,503.2,30.3,-25.4,-1.93,n
stagehand,p06,5,470.4,16.5,503.2,30.3,-32.8,-2.71,n
