case,unit_id,replay_index,kind,opportunity_score
himom,p01,0,delete,500.0
himom,p01,1,delete,463.0
himom,p01,2,delete,463.0
himom,p01,3,delete,463.0
himom,p01,4,delete,515.0
himom,p02,0,delete,463.0
himom,p02,1,delete,463.0
himom,p02,2,delete,463.0
himom,p02,3,delete,613.0
himom,p02,4,delete,515.0
himom,p03,0,delete,463.0
himom,p03,1,delete,463.0
himom,p03,4,delete,500.0
himom,p04,0,delete,463.0
himom,p03,2,delete,553.0
himom,p04,1,delete,463.0
himom,p04,2,delete,463.0
himom,p04,3,delete,463.0
himom,p03,3,delete,463.0
himom,p04,4,delete,500.0
himom,p05,0,delete,515.0
himom,p05,1,delete,463.0
himom,p05,3,delete,463.0
himom,p05,2,delete,553.0
himom,p06,1,delete,463.0
himom,p06,0,delete,463.0
himom,p05,4,delete,463.0
himom,p06,2,delete,463.0
himom,p06,3,delete,500.0
himom,p06,4,delete,463.0
stagehand,p01,0,delete,463.0
stagehand,p01,1,delete,463.0
stagehand,p01,2,delete,553.0
stagehand,p01,3,delete,463.0
stagehand,p01,4,delete,500.0
stagehand,p02,0,delete,500.0
stagehand,p02,1,delete,463.0
stagehand,p02,2,delete,463.0
stagehand,p02,4,delete,463.0
stagehand,p02,3,delete,440.0
stagehand,p03,0,delete,500.0
stagehand,p03,2,delete,515.0
stagehand,p03,1,delete,500.0
stagehand,p03,3,delete,463.0
stagehand,p04,0,delete,463.0
stagehand,p03,4,delete,463.0
stagehand,p04,1,delete,463.0
stagehand,p04,2,delete,463.0
stagehand,p04,3,delete,463.0
stagehand,p04,4,delete,515.0
stagehand,p05,1,delete,463.0
stagehand,p05,0,delete,500.0
stagehand,p05,2,delete,463.0
stagehand,p05,3,delete,500.0
stagehand,p05,4,delete,463.0
stagehand,p06,0,delete,463.0
stagehand,p06,1,delete,463.0
stagehand,p06,2,delete,463.0
stagehand,p06,3,delete,463.0
stagehand,p06,4,delete,500.0
readyrounds,p01,0,delete,515.0
readyrounds,p01,1,delete,553.0
readyrounds,p01,2,delete,500.0
readyrounds,p01,3,delete,515.0
readyrounds,p01,4,delete,515.0
readyrounds,p02,0,delete,515.0
readyrounds,p02,1,delete,515.0
readyrounds,p02,2,delete,515.0
readyrounds,p02,3,delete,553.0
readyrounds,p02,4,delete,515.0
readyrounds,p03,0,delete,515.0
readyrounds,p03,1,delete,515.0
readyrounds,p03,2,delete,500.0
readyrounds,p03,3,delete,463.0
readyrounds,p03,4,delete,463.0
readyrounds,p04,0,delete,553.0
readyrounds,p04,1,delete,515.0
readyrounds,p04,2,delete,515.0
readyrounds,p04,3,delete,463.0
readyrounds,p04,4,delete,515.0
readyrounds,p05,0,delete,500.0
readyrounds,p05,1,delete,463.0
readyrounds,p05,2,delete,500.0
readyrounds,p05,3,delete,553.0
readyrounds,p05,4,delete,553.0
readyrounds,p06,0,delete,553.0
readyrounds,p06,1,delete,553.0
readyrounds,p06,2,delete,515.0
readyrounds,p06,3,delete,463.0
readyrounds,p06,4,delete,553.0
readyrounds,p07,0,delete,463.0
readyrounds,p07,1,delete,553.0
readyrounds,p07,4,delete,515.0
readyrounds,p07,3,delete,553.0
readyrounds,p07,2,delete,515.0
narma,p01,0,delete,515.0
narma,p01,1,delete,463.0
narma,p01,2,delete,463.0
narma,p01,3,delete,515.0
narma,p01,4,delete,402.0
narma,p02,0,delete,463.0
narma,p02,1,delete,515.0
narma,p02,2,delete,500.0
narma,p02,3,delete,515.0
narma,p03,0,delete,500.0
narma,p02,4,delete,515.0
narma,p03,1,delete,515.0
narma,p03,2,delete,463.0
narma,p03,4,delete,463.0
narma,p03,3,delete,463.0
narma,p04,0,delete,463.0
narma,p04,1,delete,463.0
narma,p04,2,delete,463.0
narma,p04,3,delete,463.0
narma,p04,4,delete,463.0
narma,p05,0,delete,463.0
narma,p05,1,delete,515.0
narma,p05,2,delete,463.0
narma,p05,4,delete,463.0
narma,p05,3,delete,515.0
narma,p06,0,delete,463.0
narma,p06,1,delete,515.0
narma,p06,2,delete,515.0
narma,p06,3,delete,463.0
narma,p06,4,delete,463.0
