case,unitizer,unit_id,n_perturbations,raw_sensitivity,sigma_c,calibrated_sensitivity
artisanflow,paragraph,p01,2,0.0000,0.4,0.0000
artisanflow,paragraph,p02,4,0.5000,0.4,0.1667
artisanflow,paragraph,p03,2,0.5000,0.4,0.1667
artisanflow,paragraph,p04,3,0.3333,0.4,0.0000
artisanflow,paragraph,p05,4,0.2500,0.4,0.0000
artisanflow,paragraph,p06,3,0.6667,0.4,
artisanflow,paragraph,p07,4,0.2500,0.4,0.0000
artisanflow,sentence,s01,2,0.0000,0.4,0.0000
artisanflow,sentence,s02,2,0.5000,0.4,0.1667
artisanflow,sentence,s03,3,0.3333,0.4,0.0000
artisanflow,sentence,s04,3,0.0000,0.4,0.0000
artisanflow,sentence,s05,2,1.0000,0.4,
artisanflow,sentence,s06,1,1.0000,0.4,
artisanflow,sentence,s07,2,0.5000,0.4,0.1667
artisanflow,sentence,s08,3,0.6667,0.4,
artisanflow,sentence,s09,2,0.5000,0.4,0.1667
artisanflow,sentence,s10,2,0.0000,0.4,0.0000
artisanflow,sentence,s11,3,0.3333,0.4,0.0000
artisanflow,sentence,s12,2,0.5000,0.4,0.1667
artisanflow,sentence,s13,3,0.6667,0.4,
artisanflow,sentence,s14,2,0.0000,0.4,0.0000
artisanflow,sentence,s15,2,0.5000,0.4,0.1667
artisanflow,sentence,s16,2,0.5000,0.4,0.1667
artisanflow,sentence,s17,3,0.3333,0.4,0.0000
artisanflow,sentence,s18,3,0.0000,0.4,0.0000
artisanflow,sentence,s19,2,0.0000,0.4,0.0000
artisanflow,sentence,s20,2,0.0000,0.4,0.0000
artisanflow,sentence,s21,2,0.0000,0.4,0.0000
artisanflow,sentence,s22,3,0.0000,0.4,0.0000
artisanflow,sentence,s23,2,0.0000,0.4,0.0000
artisanflow,sentence,s24,2,0.0000,0.4,0.0000
envelop,paragraph,p01,3,0.3333,0.4,0.0000
envelop,paragraph,p02,2,0.5000,0.4,0.1667
envelop,paragraph,p03,3,0.3333,0.4,0.0000
envelop,paragraph,p04,2,0.0000,0.4,0.0000
envelop,paragraph,p05,2,0.0000,0.4,0.0000
envelop,paragraph,p06,3,0.0000,0.4,0.0000
envelop,paragraph,p07,4,0.2500,0.4,0.0000
freakinggenius,paragraph,p01,3,1.0000,0.6,
freakinggenius,paragraph,p02,3,1.0000,0.6,
freakinggenius,paragraph,p03,3,1.0000,0.6,
freakinggenius,paragraph,p04,3,0.6667,0.6,
freakinggenius,paragraph,p05,2,0.5000,0.6,
freakinggenius,paragraph,p06,3,1.0000,0.6,
freakinggenius,paragraph,p07,4,1.0000,0.6,
himom,paragraph,p01,4,0.0000,0.0,0.0000
himom,paragraph,p02,3,0.0000,0.0,0.0000
himom,paragraph,p03,2,0.0000,0.0,0.0000
himom,paragraph,p04,3,0.0000,0.0,0.0000
himom,paragraph,p05,2,0.0000,0.0,0.0000
himom,paragraph,p06,2,0.0000,0.0,0.0000
meridian,paragraph,p01,3,0.0000,0.6,0.0000
meridian,paragraph,p02,3,0.3333,0.6,0.0000
meridian,paragraph,p03,2,0.0000,0.6,0.0000
meridian,paragraph,p04,3,0.0000,0.6,0.0000
meridian,paragraph,p05,3,0.0000,0.6,0.0000
meridian,paragraph,p06,3,0.0000,0.6,0.0000
meridian,paragraph,p07,2,0.0000,0.6,0.0000
narma,paragraph,p01,5,0.0000,0.0,0.0000
narma,paragraph,p02,2,0.0000,0.0,0.0000
narma,paragraph,p03,2,0.0000,0.0,0.0000
narma,paragraph,p04,2,0.0000,0.0,0.0000
narma,paragraph,p05,2,0.0000,0.0,0.0000
narma,paragraph,p06,2,0.0000,0.0,0.0000
northpass,paragraph,p01,3,0.0000,0.0,0.0000
northpass,paragraph,p02,3,0.0000,0.0,0.0000
northpass,paragraph,p03,3,0.0000,0.0,0.0000
northpass,paragraph,p04,4,0.0000,0.0,0.0000
northpass,paragraph,p05,2,0.0000,0.0,0.0000
northpass,paragraph,p06,3,0.0000,0.0,0.0000
northpass,paragraph,p07,4,0.0000,0.0,0.0000
readyrounds,paragraph,p01,3,0.0000,0.0,0.0000
readyrounds,paragraph,p02,2,0.0000,0.0,0.0000
readyrounds,paragraph,p03,2,0.0000,0.0,0.0000
readyrounds,paragraph,p04,2,0.0000,0.0,0.0000
readyrounds,paragraph,p05,2,0.5000,0.0,0.5000
readyrounds,paragraph,p06,2,0.0000,0.0,0.0000
readyrounds,paragraph,p07,4,0.0000,0.0,0.0000
rhodium,paragraph,p01,3,0.0000,0.0,0.0000
rhodium,paragraph,p02,3,0.0000,0.0,0.0000
rhodium,paragraph,p03,3,0.0000,0.0,0.0000
rhodium,paragraph,p04,4,0.2500,0.0,0.2500
rhodium,paragraph,p05,3,0.0000,0.0,0.0000
rhodium,paragraph,p06,3,0.0000,0.0,0.0000
rhodium,paragraph,p07,6,0.0000,0.0,0.0000
stagehand,paragraph,p01,4,0.0000,0.0,0.0000
stagehand,paragraph,p02,2,0.0000,0.0,0.0000
stagehand,paragraph,p03,2,0.0000,0.0,0.0000
stagehand,paragraph,p04,2,0.0000,0.0,0.0000
stagehand,paragraph,p05,2,0.0000,0.0,0.0000
stagehand,paragraph,p06,2,0.0000,0.0,0.0000
