case,unitizer,unit_id,kind,variant_id,baseline,decision,distance
artisanflow,paragraph,p01,delete,paragraph-p01-delete,growth,growth,0.0
artisanflow,paragraph,p01,whitespace_jitter,paragraph-p01-whitespace_jitter,growth,growth,0.0
artisanflow,paragraph,p02,delete,paragraph-p02-delete,growth,growth,0.0
artisanflow,paragraph,p02,numeric_magnitude,paragraph-p02-numeric_magnitude,growth,seed,1.0
artisanflow,paragraph,p02,punctuation_normalize,paragraph-p02-punctuation_normalize,growth,growth,0.0
artisanflow,paragraph,p03,delete,paragraph-p03-delete,growth,seed,1.0
artisanflow,paragraph,p03,whitespace_jitter,paragraph-p03-whitespace_jitter,growth,growth,0.0
artisanflow,paragraph,p04,delete,paragraph-p04-delete,growth,growth,0.0
artisanflow,paragraph,p04,numeric_magnitude,paragraph-p04-numeric_magnitude,growth,growth,0.0
artisanflow,paragraph,p02,whitespace_jitter,paragraph-p02-whitespace_jitter,growth,seed,1.0
artisanflow,paragraph,p05,delete,paragraph-p05-delete,growth,growth,0.0
artisanflow,paragraph,p05,numeric_magnitude,paragraph-p05-numeric_magnitude,growth,growth,0.0
artisanflow,paragraph,p05,comparator_flip,paragraph-p05-comparator_flip,growth,growth,0.0
artisanflow,paragraph,p04,whitespace_jitter,paragraph-p04-whitespace_jitter,growth,seed,1.0
artisanflow,paragraph,p05,whitespace_jitter,paragraph-p05-whitespace_jitter,growth,seed,1.0
artisanflow,paragraph,p06,delete,paragraph-p06-delete,growth,seed,1.0
artisanflow,paragraph,p06,numeric_magnitude,paragraph-p06-numeric_magnitude,growth,growth,0.0
artisanflow,paragraph,p06,whitespace_jitter,paragraph-p06-whitespace_jitter,growth,seed,1.0
artisanflow,paragraph,p07,delete,paragraph-p07-delete,growth,growth,0.0
artisanflow,paragraph,p07,numeric_magnitude,paragraph-p07-numeric_magnitude,growth,growth,0.0
artisanflow,paragraph,p07,polarity_flip,paragraph-p07-polarity_flip,growth,growth,0.0
envelop,paragraph,p01,delete,paragraph-p01-delete,seed,seed,0.0
artisanflow,paragraph,p07,whitespace_jitter,paragraph-p07-whitespace_jitter,growth,seed,1.0
envelop,paragraph,p01,numeric_magnitude,paragraph-p01-numeric_magnitude,seed,pre-seed,1.0
envelop,paragraph,p01,whitespace_jitter,paragraph-p01-whitespace_jitter,seed,seed,0.0
envelop,paragraph,p02,delete,paragraph-p02-delete,seed,pre-seed,1.0
envelop,paragraph,p02,whitespace_jitter,paragraph-p02-whitespace_jitter,seed,seed,0.0
envelop,paragraph,p03,delete,paragraph-p03-delete,seed,pre-seed,1.0
envelop,paragraph,p03,numeric_magnitude,paragraph-p03-numeric_magnitude,seed,seed,0.0
envelop,paragraph,p03,whitespace_jitter,paragraph-p03-whitespace_jitter,seed,seed,0.0
envelop,paragraph,p04,delete,paragraph-p04-delete,seed,seed,0.0
envelop,paragraph,p04,whitespace_jitter,paragraph-p04-whitespace_jitter,seed,seed,0.0
envelop,paragraph,p05,whitespace_jitter,paragraph-p05-whitespace_jitter,seed,seed,0.0
envelop,paragraph,p06,delete,paragraph-p06-delete,seed,seed,0.0
envelop,paragraph,p05,delete,paragraph-p05-delete,seed,seed,0.0
envelop,paragraph,p07,delete,paragraph-p07-delete,seed,pre-seed,1.0
envelop,paragraph,p06,whitespace_jitter,paragraph-p06-whitespace_jitter,seed,seed,0.0
envelop,paragraph,p06,numeric_magnitude,paragraph-p06-numeric_magnitude,seed,seed,0.0
envelop,paragraph,p07,polarity_flip,paragraph-p07-polarity_flip,seed,seed,0.0
envelop,paragraph,p07,whitespace_jitter,paragraph-p07-whitespace_jitter,seed,seed,0.0
envelop,paragraph,p07,numeric_magnitude,paragraph-p07-numeric_magnitude,seed,seed,0.0
freakinggenius,paragraph,p01,delete,paragraph-p01-delete,idea,pre-seed,1.0
freakinggenius,paragraph,p01,whitespace_jitter,paragraph-p01-whitespace_jitter,idea,pre-seed,1.0
freakinggenius,paragraph,p01,punctuation_normalize,paragraph-p01-punctuation_normalize,idea,pre-seed,1.0
freakinggenius,paragraph,p02,numeric_magnitude,paragraph-p02-numeric_magnitude,idea,pre-seed,1.0
freakinggenius,paragraph,p03,delete,paragraph-p03-delete,idea,pre-seed,1.0
freakinggenius,paragraph,p02,delete,paragraph-p02-delete,idea,pre-seed,1.0
freakinggenius,paragraph,p02,whitespace_jitter,paragraph-p02-whitespace_jitter,idea,pre-seed,1.0
freakinggenius,paragraph,p03,numeric_magnitude,paragraph-p03-numeric_magnitude,idea,pre-seed,1.0
freakinggenius,paragraph,p03,whitespace_jitter,paragraph-p03-whitespace_jitter,idea,pre-seed,1.0
freakinggenius,paragraph,p04,delete,paragraph-p04-delete,idea,idea,0.0
freakinggenius,paragraph,p04,numeric_magnitude,paragraph-p04-numeric_magnitude,idea,pre-seed,1.0
freakinggenius,paragraph,p04,whitespace_jitter,paragraph-p04-whitespace_jitter,idea,pre-seed,1.0
freakinggenius,paragraph,p05,delete,paragraph-p05-delete,idea,idea,0.0
freakinggenius,paragraph,p06,delete,paragraph-p06-delete,idea,pre-seed,1.0
freakinggenius,paragraph,p05,whitespace_jitter,paragraph-p05-whitespace_jitter,idea,pre-seed,1.0
freakinggenius,paragraph,p06,numeric_magnitude,paragraph-p06-numeric_magnitude,idea,pre-seed,1.0
freakinggenius,paragraph,p06,whitespace_jitter,paragraph-p06-whitespace_jitter,idea,pre-seed,1.0
freakinggenius,paragraph,p07,delete,paragraph-p07-delete,idea,pre-seed,1.0
freakinggenius,paragraph,p07,comparator_flip,paragraph-p07-comparator_flip,idea,pre-seed,1.0
freakinggenius,paragraph,p07,whitespace_jitter,paragraph-p07-whitespace_jitter,idea,pre-seed,1.0
freakinggenius,paragraph,p07,polarity_flip,paragraph-p07-polarity_flip,idea,pre-seed,1.0
himom,paragraph,p01,delete,paragraph-p01-delete,idea,idea,0.0
himom,paragraph,p01,numeric_magnitude,paragraph-p01-numeric_magnitude,idea,idea,0.0
himom,paragraph,p01,whitespace_jitter,paragraph-p01-whitespace_jitter,idea,idea,0.0
himom,paragraph,p01,punctuation_normalize,paragraph-p01-punctuation_normalize,idea,idea,0.0
himom,paragraph,p02,delete,paragraph-p02-delete,idea,idea,0.0
himom,paragraph,p02,numeric_magnitude,paragraph-p02-numeric_magnitude,idea,idea,0.0
himom,paragraph,p02,whitespace_jitter,paragraph-p02-whitespace_jitter,idea,idea,0.0
himom,paragraph,p03,whitespace_jitter,paragraph-p03-whitespace_jitter,idea,idea,0.0
himom,paragraph,p03,delete,paragraph-p03-delete,idea,idea,0.0
himom,paragraph,p04,delete,paragraph-p04-delete,idea,idea,0.0
himom,paragraph,p04,whitespace_jitter,paragraph-p04-whitespace_jitter,idea,idea,0.0
himom,paragraph,p04,numeric_magnitude,paragraph-p04-numeric_magnitude,idea,idea,0.0
himom,paragraph,p05,delete,paragraph-p05-delete,idea,idea,0.0
himom,paragraph,p05,whitespace_jitter,paragraph-p05-whitespace_jitter,idea,idea,0.0
himom,paragraph,p06,whitespace_jitter,paragraph-p06-whitespace_jitter,idea,idea,0.0
meridian,paragraph,p01,delete,paragraph-p01-delete,pre-seed,pre-seed,0.0
himom,paragraph,p06,delete,paragraph-p06-delete,idea,idea,0.0
meridian,paragraph,p01,whitespace_jitter,paragraph-p01-whitespace_jitter,pre-seed,pre-seed,0.0
meridian,paragraph,p01,punctuation_normalize,paragraph-p01-punctuation_normalize,pre-seed,pre-seed,0.0
meridian,paragraph,p02,whitespace_jitter,paragraph-p02-whitespace_jitter,pre-seed,pre-seed,0.0
meridian,paragraph,p02,delete,paragraph-p02-delete,pre-seed,pre-seed,0.0
meridian,paragraph,p03,whitespace_jitter,paragraph-p03-whitespace_jitter,pre-seed,pre-seed,0.0
meridian,paragraph,p02,punctuation_normalize,paragraph-p02-punctuation_normalize,pre-seed,seed,1.0
meridian,paragraph,p03,delete,paragraph-p03-delete,pre-seed,pre-seed,0.0
meridian,paragraph,p04,whitespace_jitter,paragraph-p04-whitespace_jitter,pre-seed,pre-seed,0.0
meridian,paragraph,p04,numeric_magnitude,paragraph-p04-numeric_magnitude,pre-seed,pre-seed,0.0
meridian,paragraph,p04,delete,paragraph-p04-delete,pre-seed,pre-seed,0.0
meridian,paragraph,p05,delete,paragraph-p05-delete,pre-seed,pre-seed,0.0
meridian,paragraph,p05,numeric_magnitude,paragraph-p05-numeric_magnitude,pre-seed,pre-seed,0.0
meridian,paragraph,p05,whitespace_jitter,paragraph-p05-whitespace_jitter,pre-seed,pre-seed,0.0
meridian,paragraph,p06,numeric_magnitude,paragraph-p06-numeric_magnitude,pre-seed,pre-seed,0.0
meridian,paragraph,p06,delete,paragraph-p06-delete,pre-seed,pre-seed,0.0
meridian,paragraph,p06,whitespace_jitter,paragraph-p06-whitespace_jitter,pre-seed,pre-seed,0.0
meridian,paragraph,p07,delete,paragraph-p07-delete,pre-seed,pre-seed,0.0
meridian,paragraph,p07,whitespace_jitter,paragraph-p07-whitespace_jitter,pre-seed,pre-seed,0.0
narma,paragraph,p01,delete,paragraph-p01-delete,idea,idea,0.0
narma,paragraph,p01,numeric_magnitude,paragraph-p01-numeric_magnitude,idea,idea,0.0
narma,paragraph,p01,whitespace_jitter,paragraph-p01-whitespace_jitter,idea,idea,0.0
narma,paragraph,p01,polarity_flip,paragraph-p01-polarity_flip,idea,idea,0.0
narma,paragraph,p01,punctuation_normalize,paragraph-p01-punctuation_normalize,idea,idea,0.0
narma,paragraph,p02,delete,paragraph-p02-delete,idea,idea,0.0
narma,paragraph,p02,whitespace_jitter,paragraph-p02-whitespace_jitter,idea,idea,0.0
narma,paragraph,p03,delete,paragraph-p03-delete,idea,idea,0.0
narma,paragraph,p03,whitespace_jitter,paragraph-p03-whitespace_jitter,idea,idea,0.0
narma,paragraph,p04,whitespace_jitter,paragraph-p04-whitespace_jitter,idea,idea,0.0
narma,paragraph,p04,delete,paragraph-p04-delete,idea,idea,0.0
narma,paragraph,p05,delete,paragraph-p05-delete,idea,idea,0.0
narma,paragraph,p06,delete,paragraph-p06-delete,idea,idea,0.0
narma,paragraph,p05,whitespace_jitter,paragraph-p05-whitespace_jitter,idea,idea,0.0
narma,paragraph,p06,whitespace_jitter,paragraph-p06-whitespace_jitter,idea,idea,0.0
northpass,paragraph,p01,whitespace_jitter,paragraph-p01-whitespace_jitter,idea,idea,0.0
northpass,paragraph,p01,delete,paragraph-p01-delete,idea,idea,0.0
northpass,paragraph,p01,punctuation_normalize,paragraph-p01-punctuation_normalize,idea,idea,0.0
northpass,paragraph,p02,delete,paragraph-p02-delete,idea,idea,0.0
northpass,paragraph,p02,whitespace_jitter,paragraph-p02-whitespace_jitter,idea,idea,0.0
northpass,paragraph,p02,numeric_magnitude,paragraph-p02-numeric_magnitude,idea,idea,0.0
northpass,paragraph,p03,delete,paragraph-p03-delete,idea,idea,0.0
northpass,paragraph,p03,whitespace_jitter,paragraph-p03-whitespace_jitter,idea,idea,0.0
northpass,paragraph,p03,punctuation_normalize,paragraph-p03-punctuation_normalize,idea,idea,0.0
northpass,paragraph,p04,delete,paragraph-p04-delete,idea,idea,0.0
northpass,paragraph,p04,numeric_magnitude,paragraph-p04-numeric_magnitude,idea,idea,0.0
northpass,paragraph,p04,punctuation_normalize,paragraph-p04-punctuation_normalize,idea,idea,0.0
northpass,paragraph,p04,whitespace_jitter,paragraph-p04-whitespace_jitter,idea,idea,0.0
northpass,paragraph,p05,delete,paragraph-p05-delete,idea,idea,0.0
northpass,paragraph,p06,delete,paragraph-p06-delete,idea,idea,0.0
northpass,paragraph,p05,whitespace_jitter,paragraph-p05-whitespace_jitter,idea,idea,0.0
northpass,paragraph,p06,numeric_magnitude,paragraph-p06-numeric_magnitude,idea,idea,0.0
northpass,paragraph,p07,delete,paragraph-p07-delete,idea,idea,0.0
northpass,paragraph,p06,whitespace_jitter,paragraph-p06-whitespace_jitter,idea,idea,0.0
northpass,paragraph,p07,comparator_flip,paragraph-p07-comparator_flip,idea,idea,0.0
northpass,paragraph,p07,whitespace_jitter,paragraph-p07-whitespace_jitter,idea,idea,0.0
northpass,paragraph,p07,polarity_flip,paragraph-p07-polarity_flip,idea,idea,0.0
readyrounds,paragraph,p01,delete,paragraph-p01-delete,idea,idea,0.0
readyrounds,paragraph,p01,whitespace_jitter,paragraph-p01-whitespace_jitter,idea,idea,0.0
readyrounds,paragraph,p02,delete,paragraph-p02-delete,idea,idea,0.0
readyrounds,paragraph,p01,punctuation_normalize,paragraph-p01-punctuation_normalize,idea,idea,0.0
readyrounds,paragraph,p03,whitespace_jitter,paragraph-p03-whitespace_jitter,idea,idea,0.0
readyrounds,paragraph,p02,whitespace_jitter,paragraph-p02-whitespace_jitter,idea,idea,0.0
readyrounds,paragraph,p03,delete,paragraph-p03-delete,idea,idea,0.0
readyrounds,paragraph,p04,whitespace_jitter,paragraph-p04-whitespace_jitter,idea,idea,0.0
readyrounds,paragraph,p04,delete,paragraph-p04-delete,idea,idea,0.0
readyrounds,paragraph,p05,delete,paragraph-p05-delete,idea,pre-seed,1.0
readyrounds,paragraph,p06,delete,paragraph-p06-delete,idea,idea,0.0
readyrounds,paragraph,p06,whitespace_jitter,paragraph-p06-whitespace_jitter,idea,idea,0.0
readyrounds,paragraph,p05,whitespace_jitter,paragraph-p05-whitespace_jitter,idea,idea,0.0
readyrounds,paragraph,p07,delete,paragraph-p07-delete,idea,idea,0.0
readyrounds,paragraph,p07,comparator_flip,paragraph-p07-comparator_flip,idea,idea,0.0
readyrounds,paragraph,p07,whitespace_jitter,paragraph-p07-whitespace_jitter,idea,idea,0.0
rhodium,paragraph,p01,delete,paragraph-p01-delete,growth,growth,0.0
readyrounds,paragraph,p07,numeric_magnitude,paragraph-p07-numeric_magnitude,idea,idea,0.0
rhodium,paragraph,p01,whitespace_jitter,paragraph-p01-whitespace_jitter,growth,growth,0.0
rhodium,paragraph,p02,delete,paragraph-p02-delete,growth,growth,0.0
rhodium,paragraph,p01,punctuation_normalize,paragraph-p01-punctuation_normalize,growth,growth,0.0
rhodium,paragraph,p03,delete,paragraph-p03-delete,growth,growth,0.0
rhodium,paragraph,p02,whitespace_jitter,paragraph-p02-whitespace_jitter,growth,growth,0.0
rhodium,paragraph,p02,numeric_magnitude,paragraph-p02-numeric_magnitude,growth,growth,0.0
rhodium,paragraph,p03,whitespace_jitter,paragraph-p03-whitespace_jitter,growth,growth,0.0
rhodium,paragraph,p03,numeric_magnitude,paragraph-p03-numeric_magnitude,growth,growth,0.0
rhodium,paragraph,p04,numeric_magnitude,paragraph-p04-numeric_magnitude,growth,growth,0.0
rhodium,paragraph,p04,delete,paragraph-p04-delete,growth,growth,0.0
rhodium,paragraph,p04,whitespace_jitter,paragraph-p04-whitespace_jitter,growth,growth,0.0
rhodium,paragraph,p05,delete,paragraph-p05-delete,growth,growth,0.0
rhodium,paragraph,p05,numeric_magnitude,paragraph-p05-numeric_magnitude,growth,growth,0.0
rhodium,paragraph,p05,whitespace_jitter,paragraph-p05-whitespace_jitter,growth,growth,0.0
rhodium,paragraph,p06,delete,paragraph-p06-delete,growth,growth,0.0
rhodium,paragraph,p04,punctuation_normalize,paragraph-p04-punctuation_normalize,growth,scale,1.0
rhodium,paragraph,p06,numeric_magnitude,paragraph-p06-numeric_magnitude,growth,growth,0.0
rhodium,paragraph,p06,whitespace_jitter,paragraph-p06-whitespace_jitter,growth,growth,0.0
rhodium,paragraph,p07,delete,paragraph-p07-delete,growth,growth,0.0
rhodium,paragraph,p07,comparator_flip,paragraph-p07-comparator_flip,growth,growth,0.0
rhodium,paragraph,p07,polarity_flip,paragraph-p07-polarity_flip,growth,growth,0.0
rhodium,paragraph,p07,whitespace_jitter,paragraph-p07-whitespace_jitter,growth,growth,0.0
stagehand,paragraph,p01,delete,paragraph-p01-delete,idea,idea,0.0
stagehand,paragraph,p01,comparator_flip,paragraph-p01-comparator_flip,idea,idea,0.0
rhodium,paragraph,p07,numeric_magnitude,paragraph-p07-numeric_magnitude,growth,growth,0.0
rhodium,paragraph,p07,punctuation_normalize,paragraph-p07-punctuation_normalize,growth,growth,0.0
stagehand,paragraph,p02,delete,paragraph-p02-delete,idea,idea,0.0
stagehand,paragraph,p01,whitespace_jitter,paragraph-p01-whitespace_jitter,idea,idea,0.0
stagehand,paragraph,p01,punctuation_normalize,paragraph-p01-punctuation_normalize,idea,idea,0.0
stagehand,paragraph,p03,delete,paragraph-p03-delete,idea,idea,0.0
